school,state,district,postcode,lat,lon
SK SRI BELAHAN,Johor,Batu Pahat,83100,1.659045,103.192817
SK MUTIARA,Johor,Batu Pahat,83100,1.663239,103.185006
SK RENGIT,Johor,Batu Pahat,83100,1.677653,103.162375
SMK PERMATA JAYA,Johor,Batu Pahat,83100,1.678437,103.149235
SJK(C) CHONG HWA RENGIT,Johor,Batu Pahat,83100,1.680113,103.145013
SMK TUN SARDON,Johor,Batu Pahat,83100,1.681511,103.14849
SK SRI RENGIT,Johor,Batu Pahat,83100,1.683843,103.147118
SK SUNGAI TONGKANG,Johor,Batu Pahat,83100,1.691499,103.121509
SK SERI SAMPURNA,Johor,Batu Pahat,83100,1.702128,103.101782
SK SERI PERPAT,Johor,Batu Pahat,83100,1.722369,103.127374
SK KG BAHRU,Johor,Batu Pahat,83200,1.723126,103.079045
SK SERI LADANG,Johor,Batu Pahat,83100,1.725293,103.149769
SK SERI MERLONG,Johor,Batu Pahat,83110,1.73244,103.189616
SK SENGGARANG,Johor,Batu Pahat,83200,1.749363,103.048525
SK SERI MULIA,Johor,Batu Pahat,83100,1.749563,103.167073
SMA JAWAHIR AL-ULUM,Johor,Batu Pahat,83200,1.749664,103.05716
SK PARIT KEMANG,Johor,Batu Pahat,83200,1.75097,103.060902
SJK(C) CHONG HWA SENGGARANG,Johor,Batu Pahat,83200,1.751718,103.053335
SK KORIS,Johor,Batu Pahat,83200,1.752016,103.002568
SMK TUNKU MAHMOOD ISKANDAR,Johor,Batu Pahat,83200,1.758468,103.107552
SJK(C) CHONG HWA SG.AYAM,Johor,Batu Pahat,83040,1.760412,102.931479
SK SETIA BUDI,Johor,Batu Pahat,83110,1.767755,103.18733
SMK SENGGARANG,Johor,Batu Pahat,83200,1.769827,102.969085
SJK(C) CHUNG CHENG,Johor,Batu Pahat,83200,1.772225,102.974011
SJK(C) CHONG HWA PT KADIR,Johor,Batu Pahat,83200,1.772464,103.106661
SK SERI REJO SARI,Johor,Batu Pahat,83200,1.77484,103.123845
SJK(C) YEONG CHANG,Johor,Batu Pahat,83040,1.777687,102.951241
SK PARIT KADIR,Johor,Batu Pahat,83200,1.778208,103.083484
SK SG SULOH,Johor,Batu Pahat,83040,1.778629,102.948704
SK SERI MOLEK,Johor,Batu Pahat,83200,1.787508,103.029114
SJK(C) CHONG HWA SEGENTING,Johor,Batu Pahat,83030,1.788377,102.89295
SK SERI BANANG,Johor,Batu Pahat,83040,1.790626,102.938809
SK MINYAK BEKU,Johor,Batu Pahat,83030,1.791755,102.893521
SMK BANANG JAYA,Johor,Batu Pahat,83000,1.797373,102.962449
SK SERI TIMBUL,Johor,Batu Pahat,83200,1.797876,103.110809
SK BANANG JAYA,Johor,Batu Pahat,83000,1.798143,102.961815
SM SAINS BATU PAHAT,Johor,Batu Pahat,83000,1.79989,102.960147
SJK(C) PING MING,Johor,Batu Pahat,83030,1.800568,102.906604
SK SERI PANDAN,Johor,Batu Pahat,86400,1.809755,103.065021
SK SERI PULEH,Johor,Batu Pahat,86400,1.820213,103.119549
SK SERI KEMAJUAN,Johor,Batu Pahat,86400,1.82316,103.143139
SJK(C) CHENG SIU 2,Johor,Batu Pahat,83000,1.833915,102.949432
SJK(C) CHENG SIU 1,Johor,Batu Pahat,83000,1.834004,102.949323
SJK(C) HWA JIN,Johor,Batu Pahat,83000,1.835297,102.946467
SK SETIA JAYA,Johor,Batu Pahat,86400,1.83723,103.140966
SK SG KAJANG,Johor,Batu Pahat,83020,1.837925,102.877125
SK SERI AMAN,Johor,Batu Pahat,83300,1.838236,103.041074
SJK(T) SRI GADING,Johor,Batu Pahat,83009,1.838425,103.017174
SMK DATO' SYED ESA,Johor,Batu Pahat,83000,1.840103,102.937758
SK MONTFORT,Johor,Batu Pahat,83000,1.840777,102.934574
SMK TINGGI BATU PAHAT,Johor,Batu Pahat,83000,1.842525,102.933435
SK BANDAR,Johor,Batu Pahat,83000,1.845727,102.927153
SK JELOTONG,Johor,Batu Pahat,86400,1.845827,103.085964
SMA PARIT RAJA,Johor,Batu Pahat,86400,1.845906,103.118604
SK BAGAN,Johor,Batu Pahat,83000,1.845974,102.860764
SK TEMENGGONG IBRAHIM PENGGARAM,Johor,Batu Pahat,83000,1.846072,102.941564
SMK (P) TEMENGGONG IBRAHIM,Johor,Batu Pahat,83000,1.846075,102.94157
SJK(C) TUNG CHENG,Johor,Batu Pahat,83000,1.847185,102.859099
SK PARIT BINGAN,Johor,Batu Pahat,86400,1.847458,103.151815
SMK DATO' BENTARA LUAR,Johor,Batu Pahat,83000,1.847581,102.948743
SK PINTAS RAYA,Johor,Batu Pahat,86400,1.847717,103.071694
SK LIMPOON 1,Johor,Batu Pahat,83000,1.848704,102.949588
SMA ATTARBIAH AL ISLAMIAH,Johor,Batu Pahat,83000,1.848815,102.946009
SK PENDIDIKAN KHAS BATU PAHAT,Johor,Batu Pahat,83007,1.848907,102.948916
SK TENGKU MARIAM,Johor,Batu Pahat,83000,1.848925,102.949256
SK PESERAI,Johor,Batu Pahat,83000,1.84949,102.906676
SJK(C) AI CHUN 1,Johor,Batu Pahat,83000,1.850407,102.930262
SJK(C) AI CHUN 2,Johor,Batu Pahat,83007,1.850414,102.930257
SMK SERI GADING,Johor,Batu Pahat,83300,1.851971,103.050622
SJK(T) SERI PELANGI,Johor,Batu Pahat,83000,1.853017,102.949897
SMK DATO ONN,Johor,Batu Pahat,83020,1.853047,102.888151
SK PARIT RAJA,Johor,Batu Pahat,86400,1.855662,103.115484
SK GAMBUT,Johor,Batu Pahat,83600,1.855698,102.829083
SJK(C) CHONG HWA SRI GADING,Johor,Batu Pahat,83300,1.856172,103.029984
SK PINTAS PUDING,Johor,Batu Pahat,86400,1.857073,103.100002
SMK DATIN ONN JAFFAR,Johor,Batu Pahat,83000,1.85745,102.943109
SK SERI PUTERI,Johor,Batu Pahat,83000,1.857875,102.940995
SMK CONVENT,Johor,Batu Pahat,83000,1.862471,102.950891
SK CONVENT,Johor,Batu Pahat,83000,1.862543,102.949879
SRA BERSEPADU BATU PAHAT,Johor,Batu Pahat,83000,1.862872,102.94302
SK BUKIT SOGA,Johor,Batu Pahat,83000,1.863573,102.955216
SK SERI PENGKALAN,Johor,Batu Pahat,83600,1.864302,102.814848
SK SERI GADING,Johor,Batu Pahat,83300,1.865435,103.028875
SJK(C) KONG NAN,Johor,Batu Pahat,86400,1.86645,103.116806
SJK(C) PANCHOR,Johor,Batu Pahat,83300,1.867359,103.002221
SK PARIT LAPIS,Johor,Batu Pahat,83000,1.867596,102.923238
SMK TUN ISMAIL,Johor,Batu Pahat,86400,1.867787,103.112545
SMK MUNSHI SULAIMAN,Johor,Batu Pahat,83000,1.868203,102.978564
SMK TUN AMINAH,Johor,Batu Pahat,83007,1.868736,102.979883
KOLEJ VOKASIONAL TUN HUSSEIN ONN,Johor,Batu Pahat,83000,1.868884,102.986777
SJK(C) SIN HWA,Johor,Batu Pahat,83600,1.869038,102.803264
KOLEJ VOKASIONAL BATU PAHAT ,Johor,Batu Pahat,83000,1.869434,102.984132
SJK(C) SIN HWA,Johor,Batu Pahat,83050,1.870378,102.94386
SK SERI SABAK UNI,Johor,Batu Pahat,86400,1.871825,103.128135
SK SERI PAYA,Johor,Batu Pahat,86400,1.871912,103.144326
SJK(C) HUA MIN,Johor,Batu Pahat,83000,1.872863,102.94807
SJK(C) HWA NAN,Johor,Batu Pahat,83000,1.873045,102.977501
SK SERI BEROLEH,Johor,Batu Pahat,83000,1.8735,102.971616
SK BUKIT KUARI,Johor,Batu Pahat,86400,1.873706,103.149346
SK LUBOK,Johor,Batu Pahat,83600,1.873848,102.795417
SK PENGHULU SALLEH,Johor,Batu Pahat,83020,1.873977,102.880949
SJK(C) CHERN HWA BUKIT PASIR,Johor,Batu Pahat,83050,1.8756,102.941619
SK TG SEMBERONG,Johor,Batu Pahat,83307,1.876399,103.063142
SK PARIT BILAL,Johor,Batu Pahat,83050,1.879528,102.946422
SK PESERIAN,Johor,Batu Pahat,83600,1.879963,102.783658
SMK SEMERAH,Johor,Batu Pahat,83600,1.879972,102.784501
SK SERI SEKAWAN DESA,Johor,Batu Pahat,83000,1.880875,102.86454
SMK SURIA PERDANA,Johor,Batu Pahat,86400,1.88289,103.151334
SJK(C) PEI CHUN,Johor,Batu Pahat,83600,1.884299,102.780785
SK SERI JASA SEPAKAT,Johor,Batu Pahat,83020,1.889273,102.841368
SJK(C) BULOH,Johor,Batu Pahat,83010,1.890919,102.987681
SJK(C) YORK CHAI,Johor,Batu Pahat,83710,1.894498,103.016526
SK SERI MANGGIS,Johor,Batu Pahat,86400,1.898429,103.104543
SK KOTA DALAM,Johor,Batu Pahat,86100,1.899991,103.163309
SK SERI BENGKAL,Johor,Batu Pahat,83300,1.900167,103.022399
SK BINDU,Johor,Batu Pahat,83010,1.902015,102.965406
